Instance,EAS (no LS),RAS (no LS),"EAS (LS, not tuned)","RAS (LS, not tuned)","EAS (LS, tuned)","RAS (LS, tuned)"
bur26g.dat,16737.45,28934.45,306.43,0,468.07,0
chr15b.dat,1122.67,996.02,430.1,328.43,378.98,495.72
esc16d.dat,0,0,0,0,0,0
had14.dat,9.66,10.54,0,0,0,0
had20.dat,14.34,18.4,10.96,0,0,12.59
nug28.dat,62.71,27.65,27.44,18.36,29.89,28
scr12.dat,600.72,582.08,0,0,0,0
tai17a.dat,3286.57,4681.04,2334.31,2780.92,2286.86,2986.83
tai35a.dat,30049.49,24688.77,9590.59,9326.62,10462.45,20092.04
wil50.dat,259.73,323.45,53.97,45.09,44.47,43.72
